name,address,image_url
그랩잇클라이밍,광주 광산구 수완동 669-1,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/grabit.png
핸드워크 봉선점,광주 남구 봉선동 517-8,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/handwerk_bongseon.png
핸드워크 전남대점,광주 북구 용봉동 152-6,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/handwerk_jeonnamuniv.png
핸드워크 양산점,광주 북구 용두동 305-44,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/handwerk_yangsan.png
인케이브 클라이밍,광주 서구 치평동 1251-1,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/incave.png
레드원 봉선점,광주 남구 봉선동 156,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/redone_bongseon.png
레드원 첨단점,광주 광산구 쌍암동 694-99,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/redone_chomdam.png
더클라임 강남점,서울 강남구 테헤란로8길 21 화인강남빌딩 B1층,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_gangnam.png
더클라임 일산점,경기 고양시 일산동구 마두동 805-1,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_ilsan.png
더클라임 마곡점,서울 강서구 마곡동 796-3,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_magok.png
더클라임 문래점,서울특별시 영등포구 당산로 63 1동,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_moonrae.png
더클라임 논현점,서울특별시 서초구 강남대로 519 지하1층,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_nonheon.png
더클라임 사당점,서울특별시 관악구 과천대로 939 지층 B201호,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_sadang.png
더클라임 신림점,서울 관악구 신원로 35 삼모더프라임타워 5층,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_shinlim.png
더클라임 신사점,서울 강남구 압구정로2길 6 지하2층,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_shinsa.png
더클라임 양재점,서울 강남구 남부순환로 2615 지하1층,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_yangjae.png
더클라임 연남점,서울특별시 마포구 양화로 186 3층,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_yeonnam.png
더클라임 이수점,서울특별시 동작구 동작대로 59 지하1층,https://psrtsozhzkootzfrwhku.supabase.co/storage/v1/object/public/place_images/theclimb_yisu.png
